S.No,DNAPass AS Name,Subject coverage,Weighted Score
161,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.1377
162,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.587
163,BNCH-Java-Jr-Java Jr Dev Test-grades,0.12,0.087
164,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.558
165,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.6993
166,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.4058
167,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3587
168,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.6449
169,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2452
170,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.558
171,BNCH-Java-Jr-Java Jr Dev Test-grades,0.76,0.6944
172,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.3176
173,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5857
174,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4118
175,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.337
176,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3986
177,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.4614
178,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.1667
179,BNCH-Java-Jr-Java Jr Dev Test-grades,0.08,0.1872
180,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.1558
181,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3913
182,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.1594
183,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.1522
184,BNCH-Java-Jr-Java Jr Dev Test-grades,0.08,0.1969
185,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6111
186,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5302
187,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.2331
188,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4638
189,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3297
190,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5386
191,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.2101
192,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5906
193,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5435
194,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.3998
195,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5507
196,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4686
197,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.2645
198,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.4855
199,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3442
200,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.2029
201,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.2307
202,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.2572
203,BNCH-Java-Jr-Java Jr Dev Test-grades,0.08,0.058
204,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.221
205,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6051
206,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.157
207,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3406
208,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.192
209,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3623
210,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5254
211,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.4988
212,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.7174
213,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.4058
214,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.1232
215,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.2597
216,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.6147
217,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.4082
218,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3092
219,BNCH-Java-Jr-Java Jr Dev Test-grades,0.12,0.128
220,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.0761
221,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3684
222,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3986
223,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2693
224,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5616
225,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3249
226,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.1268
227,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.5217
228,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.4867
229,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3454
230,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5495
231,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5845
232,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.3188
233,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5664
234,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.2548
235,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5797
236,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.4964
237,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5761
238,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.2536
239,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.308
240,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.4589
241,BNCH-Java-Jr-Java Jr Dev Test-grades,0.08,0.0761
242,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5109
243,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2935
244,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5193
